id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_event_key,v27_industry_ok,v27_industry_reason,v27_industry_score,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v26가드레일사유
1000,정부/국회,정부_국회,과학기술정보통신부,"[일지] 쿠팡, 개인정보 유출부터 개인정보위 과징금까지",일지 쿠팡 개인정보 유출부터 개인정보위 과징금까지,연합뉴스,연합뉴스,"Thu, 11 Jun 2026 02:00:06 GMT","[일지] 쿠팡, 개인정보 유출부터 개인정보위 과징금까지 연합뉴스",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBndU5VaVdkNFUwcmh2M0pFSjFSVTVFN1VxR3VuMDdfaE1NMFBwdTV6N1pwZm8yV1dpejBFTnhfaXc3VVNlY2tlV1JhSTJvbDRzOEpZNWFLVUpJTWN0VXdrb9IBYEFVX3lxTFBndU5VaVdkNFUwcmh2M0pFSjFSVTVFN1VxR3VuMDdfaE1NMFBwdTV6N1pwZm8yV1dpejBFTnhfaXc3VVNlY2tlV1JhSTJvbDRzOEpZNWFLVUpJTWN0VXdrbw?oc=5,google_rss_과학기술정보통신부 과징금 when:2d,143.6,137.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,쿠팡,,Y,,,,government:platform_obligation,platform_operator_obligation,24.0,published_today,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,143.6,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,GOV_PLATFORM_REGULATION,플랫폼 개인정보 유출,쿠팡 개인정보 유출 및 제재,"쿠팡의 대규모 과징금 부과는 플랫폼 사업자 대상 개인정보 보호 규제 강화 추세를 보여주며, 카카오 또한 유사한 규제 환경에 놓일 수 있음을 시사.",2,2,1,,,쿠팡에 대한 개인정보 유출 제재는 다른 플랫폼 사업자들에게도 적용될 수 있는 규제 강화 추세를 보여주므로 관련성을 높게 판단합니다.,gemini,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,개인정보보호법 강화 및 플랫폼 사업자 대상 감독 강화 움직임에 대한 정책적 시사점.,쿠팡에 부과된 대규모 과징금은 다른 대형 플랫폼 사업자들에게도 유사한 규제 리스크가 있음을 보여줌.,쿠팡 개인정보 유출 및 제재,플랫폼 개인정보 유출,,
1077,정부/국회,정부_국회,과학기술정보통신부,"과징금 6천246억 부과…개인정보위, 쿠팡사태 제재안 의결 브리핑",과징금 6천246억 부과 개인정보위 쿠팡사태 제재안 의결 브리핑,연합뉴스,연합뉴스,"Thu, 11 Jun 2026 02:37:21 GMT","과징금 6천246억 부과…개인정보위, 쿠팡사태 제재안 의결 브리핑 연합뉴스",https://news.google.com/rss/articles/CBMieEFVX3lxTE0tT1FoaWtsSG10ODdmNm5PMTlpT2E2bmk3eWNCYzQ0YVlCcGFSYUgtbUdEMWtGZ2NacHFTQ181SHE5TDlhdHpoSHNiREJvbXFGbzg4b3liWjJkRGlSRnZLQjNta2JRWHRKVnBTOEVjbGxnRVA5aUd3Qw?oc=5,google_rss_과학기술정보통신부 site:yna.co.kr when:2d,140.6,130.0,"antitrust_platform,legal_regulatory_enforcement,policy_legislation",antitrust_general,쿠팡,,Y,,,,government:platform_obligation,platform_operator_obligation,24.0,published_today,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,140.6,"legal_regulatory_enforcement,policy_legislation",government:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,GOV_PLATFORM_REGULATION,플랫폼 개인정보 유출,쿠팡 개인정보 유출 및 제재,"쿠팡의 대규모 과징금 부과는 플랫폼 사업자 대상 개인정보 보호 규제 강화 추세를 보여주며, 카카오 또한 유사한 규제 환경에 놓일 수 있음을 시사.",2,2,1,,,쿠팡에 대한 개인정보 유출 제재는 다른 플랫폼 사업자들에게도 적용될 수 있는 규제 강화 추세를 보여주므로 관련성을 높게 판단합니다.,gemini,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,개인정보보호법 강화 및 플랫폼 사업자 대상 감독 강화 움직임에 대한 정책적 시사점.,쿠팡에 부과된 대규모 과징금은 다른 대형 플랫폼 사업자들에게도 유사한 규제 리스크가 있음을 보여줌.,쿠팡 개인정보 유출 및 제재,플랫폼 개인정보 유출,,
1004,정부/국회,정부_국회,과학기술정보통신부,"개보위, 개인정보 유출 ‘쿠팡’ 과징금 6천억 부과",개보위 개인정보 유출 쿠팡 과징금 6천억 부과,이뉴스투데이,이뉴스투데이,"Thu, 11 Jun 2026 04:38:54 GMT","개보위, 개인정보 유출 ‘쿠팡’ 과징금 6천억 부과 이뉴스투데이",https://news.google.com/rss/articles/CBMicEFVX3lxTE5EUDFVM1IxWTVhanJ4Y2dQOUV4aGV0WTlBNWxVRUdEYjZmcl9Pbk5CVlJKRF84VDNKNWJyeFl2TnV4ZDRyUlBYZWxlampuN2NlaWFCQTBvaTFYYmNpR2ZiYVRZRFZuanc3eks0dHJ1TW3SAXRBVV95cUxQbmt4aURrQjJ4NFhkSHdCMER6SGk4LWMtQndIbFdRZjVySWJuMWxUQXVRVi1zTGRNOV8yb1ItZEdYbDZFdU9HcHZRZDg4UFZiaVBIeGVJZUdwVnVHYndzNl96NXMzdUZTRWkwWnctNGduQm1uTw?oc=5,google_rss_과학기술정보통신부 과징금 when:2d,136.6,150.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,쿠팡,,Y,,,,government:platform_obligation,platform_operator_obligation,24.0,published_today,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,136.6,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,GOV_PLATFORM_REGULATION,플랫폼 개인정보 유출,쿠팡 개인정보 유출 및 제재,"쿠팡의 대규모 과징금 부과는 플랫폼 사업자 대상 개인정보 보호 규제 강화 추세를 보여주며, 카카오 또한 유사한 규제 환경에 놓일 수 있음을 시사.",2,2,1,,,쿠팡에 대한 개인정보 유출 제재는 다른 플랫폼 사업자들에게도 적용될 수 있는 규제 강화 추세를 보여주므로 관련성을 높게 판단합니다.,gemini,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,개인정보보호법 강화 및 플랫폼 사업자 대상 감독 강화 움직임에 대한 정책적 시사점.,쿠팡에 부과된 대규모 과징금은 다른 대형 플랫폼 사업자들에게도 유사한 규제 리스크가 있음을 보여줌.,쿠팡 개인정보 유출 및 제재,플랫폼 개인정보 유출,,
1041,정부/국회,정부_국회,과학기술정보통신부,"개인정보위, '개인정보 유출' 쿠팡에 과징금 6247억 부과",개인정보위 개인정보 유출 쿠팡에 과징금 6247억 부과,네이트,네이트,"Thu, 11 Jun 2026 02:12:00 GMT","개인정보위, '개인정보 유출' 쿠팡에 과징금 6247억 부과 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE9aa2lWVU9odlFnVmpGdUxRNElDY3VWd1J6Um5FR2JjbmsyMlA5bGdtalc3VlVxUjFoaTUwM2hLT1V4VXdRZXE5QVlxMGt4ejZ0Z2sw?oc=5,google_rss_과학기술정보통신부 개인정보 when:2d,136.6,137.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,쿠팡,,Y,,,,government:platform_obligation,platform_operator_obligation,24.0,published_today,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,136.6,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,GOV_PLATFORM_REGULATION,플랫폼 개인정보 유출,쿠팡 개인정보 유출 및 제재,"쿠팡의 대규모 과징금 부과는 플랫폼 사업자 대상 개인정보 보호 규제 강화 추세를 보여주며, 카카오 또한 유사한 규제 환경에 놓일 수 있음을 시사.",2,2,1,,,쿠팡에 대한 개인정보 유출 제재는 다른 플랫폼 사업자들에게도 적용될 수 있는 규제 강화 추세를 보여주므로 관련성을 높게 판단합니다.,gemini,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,개인정보보호법 강화 및 플랫폼 사업자 대상 감독 강화 움직임에 대한 정책적 시사점.,쿠팡에 부과된 대규모 과징금은 다른 대형 플랫폼 사업자들에게도 유사한 규제 리스크가 있음을 보여줌.,쿠팡 개인정보 유출 및 제재,플랫폼 개인정보 유출,,
1003,정부/국회,정부_국회,과학기술정보통신부,"[일지] 쿠팡, 개인정보 유출부터 개인정보위 과징금까지",일지 쿠팡 개인정보 유출부터 개인정보위 과징금까지,네이트,네이트,"Thu, 11 Jun 2026 02:01:00 GMT","[일지] 쿠팡, 개인정보 유출부터 개인정보위 과징금까지 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTFBpZEpYUnpqcW5fMWpkUW5JRl9lRDJza2tZRWNuM1pZUXdVd3cyanFUSUp4aVFLZW12V3YtX0tzWFdSSE1TNllxT1BnWmFKel9wZGd3?oc=5,google_rss_과학기술정보통신부 과징금 when:2d,136.6,137.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,쿠팡,,Y,,,,government:platform_obligation,platform_operator_obligation,24.0,published_today,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,136.6,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,GOV_PLATFORM_REGULATION,플랫폼 개인정보 유출,쿠팡 개인정보 유출 및 제재,"쿠팡의 대규모 과징금 부과는 플랫폼 사업자 대상 개인정보 보호 규제 강화 추세를 보여주며, 카카오 또한 유사한 규제 환경에 놓일 수 있음을 시사.",2,2,1,,,쿠팡에 대한 개인정보 유출 제재는 다른 플랫폼 사업자들에게도 적용될 수 있는 규제 강화 추세를 보여주므로 관련성을 높게 판단합니다.,gemini,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,개인정보보호법 강화 및 플랫폼 사업자 대상 감독 강화 움직임에 대한 정책적 시사점.,쿠팡에 부과된 대규모 과징금은 다른 대형 플랫폼 사업자들에게도 유사한 규제 리스크가 있음을 보여줌.,쿠팡 개인정보 유출 및 제재,플랫폼 개인정보 유출,,
1033,정부/국회,정부_국회,과학기술정보통신부,"개보위, 오늘 쿠팡 ‘개인정보 유출’ 사태 심의한다···역대 최대 과징금 관측도",개보위 오늘 쿠팡 개인정보 유출 사태 심의한다 역대 최대 과징금 관측도,v.daum.net,v.daum.net,"Tue, 09 Jun 2026 21:08:02 GMT","개보위, 오늘 쿠팡 ‘개인정보 유출’ 사태 심의한다···역대 최대 과징금 관측도 v.daum.net",https://news.google.com/rss/articles/CBMiRkFVX3lxTE5maVl3ZFM4YUd2eHhfemhoSzNUTmZTWXg0Yzc4cmV3X0dCc291RnFtcWNEQ295dVdaSGZGUlR3c2FPa3ZLaEE?oc=5,google_rss_과학기술정보통신부 해킹 when:2d,132.8,150.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,쿠팡,,Y,,,,government:platform_obligation,platform_operator_obligation,32.0,published_yesterday+today_date_action,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,132.8,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,SELF_INCLUDED_REGULATION,플랫폼 개인정보 유출,쿠팡 개인정보 유출 및 제재,"쿠팡의 대규모 과징금 부과는 플랫폼 사업자 대상 개인정보 보호 규제 강화 추세를 보여주며, 카카오 또한 유사한 규제 환경에 놓일 수 있음을 시사.",2,2,1,,,쿠팡에 대한 개인정보 유출 제재는 다른 플랫폼 사업자들에게도 적용될 수 있는 규제 강화 추세를 보여주므로 관련성을 높게 판단합니다.,gemini,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,개인정보보호법 강화 및 플랫폼 사업자 대상 감독 강화 움직임에 대한 정책적 시사점.,쿠팡에 부과된 대규모 과징금은 다른 대형 플랫폼 사업자들에게도 유사한 규제 리스크가 있음을 보여줌.,쿠팡 개인정보 유출 및 제재,플랫폼 개인정보 유출,,
1037,정부/국회,정부_국회,과학기술정보통신부,"개보위, 오늘 쿠팡 '개인정보 유출' 사태 심의한다···역대 최대 과징금 관측도",개보위 오늘 쿠팡 개인정보 유출 사태 심의한다 역대 최대 과징금 관측도,네이트,네이트,"Tue, 09 Jun 2026 21:06:00 GMT","개보위, 오늘 쿠팡 '개인정보 유출' 사태 심의한다···역대 최대 과징금 관측도 네이트",https://news.google.com/rss/articles/CBMibkFVX3lxTE5BUXJkRmRZN0dlVUs3cXBwcWFRMkdoNEx1U21jWjRxaVpRc0N0Z1NmN0tKRlFNLWNVSmwxVUdUZ1R3R1ltcTdDMVJ5OWhTd0R6RTNXUExxRU1LVDZnMEJ5M1N3aVNqZHJBN3hMYzJn?oc=5,google_rss_과학기술정보통신부 해킹 when:2d,132.8,150.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,쿠팡,,Y,,,,government:platform_obligation,platform_operator_obligation,32.0,published_yesterday+today_date_action,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,132.8,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,GOV_PLATFORM_REGULATION,플랫폼 개인정보 유출,쿠팡 개인정보 유출 및 제재,"쿠팡의 대규모 과징금 부과는 플랫폼 사업자 대상 개인정보 보호 규제 강화 추세를 보여주며, 카카오 또한 유사한 규제 환경에 놓일 수 있음을 시사.",2,2,1,,,쿠팡에 대한 개인정보 유출 제재는 다른 플랫폼 사업자들에게도 적용될 수 있는 규제 강화 추세를 보여주므로 관련성을 높게 판단합니다.,gemini,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,개인정보보호법 강화 및 플랫폼 사업자 대상 감독 강화 움직임에 대한 정책적 시사점.,쿠팡에 부과된 대규모 과징금은 다른 대형 플랫폼 사업자들에게도 유사한 규제 리스크가 있음을 보여줌.,쿠팡 개인정보 유출 및 제재,플랫폼 개인정보 유출,,
1202,정부/국회,정부_국회,공정거래위원회,"[속보] 개인정보위, 쿠팡에 6249억 과징금 부과…역대 최고",개인정보위 쿠팡에 6249억 과징금 부과 역대 최고,프레시안,프레시안,"Thu, 11 Jun 2026 02:40:25 GMT","[속보] 개인정보위, 쿠팡에 6249억 과징금 부과…역대 최고 프레시안",https://news.google.com/rss/articles/CBMif0FVX3lxTFBzNGRtTHp6bTh0RjFiSDZxNzZBNjhtczF6WERGRHltR256VGZmbzVGYnVpX1ZTMmRoNDRkaTBFVTJVODlocEFLRUFDSlpQOVBXeENPa09mQ0tXb2o2TExsUGVDNklaaHh1clYwOThzeWRxVlRGNDB3UkNiaUR5aEk?oc=5,google_rss_공정거래위원회 when:2d,132.6,120.0,"antitrust_platform,legal_regulatory_enforcement",antitrust_general,쿠팡,,Y,,,,government:platform_obligation,platform_operator_obligation,29.0,published_today+exclusive_breaking,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,132.6,"legal_regulatory_enforcement,policy_legislation",government:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,GOV_PLATFORM_REGULATION,플랫폼 개인정보 유출,쿠팡 개인정보 유출 및 제재,"쿠팡의 대규모 과징금 부과는 플랫폼 사업자 대상 개인정보 보호 규제 강화 추세를 보여주며, 카카오 또한 유사한 규제 환경에 놓일 수 있음을 시사.",2,2,1,,,쿠팡에 대한 개인정보 유출 제재는 다른 플랫폼 사업자들에게도 적용될 수 있는 규제 강화 추세를 보여주므로 관련성을 높게 판단합니다.,gemini,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,개인정보보호법 강화 및 플랫폼 사업자 대상 감독 강화 움직임에 대한 정책적 시사점.,쿠팡에 부과된 대규모 과징금은 다른 대형 플랫폼 사업자들에게도 유사한 규제 리스크가 있음을 보여줌.,쿠팡 개인정보 유출 및 제재,플랫폼 개인정보 유출,,
5,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,‘카톡 먹통되나?’…카카오 추가파업 예고...다른 플랫폼에 ‘줄파업 확산’ 주목,카톡 먹통되나 카카오 추가파업 예고 다른 플랫폼에 줄파업 확산 주목,문화일보,문화일보,"Thu, 11 Jun 2026 04:05:24 GMT",‘카톡 먹통되나?’…카카오 추가파업 예고...다른 플랫폼에 ‘줄파업 확산’ 주목 문화일보,https://news.google.com/rss/articles/CBMiUEFVX3lxTE1qZ1VsX2p3Q3lncWJlSC0yOEJiUWY0R2k4eTd6aHFKSDhUQXI3Z1VQeTFXVHpiQnlFanFDWURZalN3QUdPenIzYmJ6TmVLS1Iy?oc=5,google_rss_카카오 when:2d,131.8,131.5,"labor_dispute,labor_negotiation,market_power_platform,privacy_security_reliability",labor_strike_action,"카카오,카카오서비스,카카오톡",,,Y,must_review:self_strict:labor_strike:labor_negotiation+privacy_security_reliability,,,direct_self_risk,24.0,published_today,direct_risk,privacy_security:kakao:service_outage,review_scheduled,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,131.8,"labor_negotiation,privacy_security_reliability,market_power_platform",self:labor_strike,global_incident:platform_regulation:kakao:platform_regulation:conflict_escalation,global_incident:platform_regulation:kakao:platform_regulation,자사_및_계열사_이슈,SELF_DIRECT_RISK,카카오 파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조 파업으로 인한 서비스 차질 가능성 및 대외 이미지 영향.,1,1,1,,,"카카오 노조의 파업 예고는 직접적인 리스크이며, 서비스 운영에 영향을 미칠 수 있어 관련 기사를 분류합니다.",gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,카카오 파업,,
143,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,카카오 오늘 창사 첫 파업…노조 600명 판교 행진,카카오 오늘 창사 첫 파업 노조 600명 판교 행진,연합뉴스,연합뉴스,"Wed, 10 Jun 2026 00:04:43 GMT",카카오 오늘 창사 첫 파업…노조 600명 판교 행진 연합뉴스,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9VMzJKOVMxMGw3NmpqXzJIRVJvX3dlWkwyd21JZV9sOTZpMUJKNFE5TTVGUHFNMU9lOHlyMmhHYTZBVkpBaEZndUIxTy00MzZma2JVNnplaE5faDFxc2FwWdIBYEFVX3lxTE9VMzJKOVMxMGw3NmpqXzJIRVJvX3dlWkwyd21JZV9sOTZpMUJKNFE5TTVGUHFNMU9lOHlyMmhHYTZBVkpBaEZndUIxTy00MzZma2JVNnplaE5faDFxc2FwWQ?oc=5,google_rss_카카오 노조 when:2d,131.4,100.3,"labor_dispute,labor_negotiation",labor_general,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,32.0,published_yesterday+today_date_action,direct_risk,global_incident:labor_ir:kakao:strike_negotiation,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,131.4,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,self_labor,카카오 노조 임단협/파업 및 내부 갈등,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,5,5,5,,,로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전,local,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,self_labor,,
